dist,s,nq,repeat,mean,std,var
norm,0.1,4212,0,0.011657497802656167,0.001361164536094213,1.8527688943205741e-06
norm,0.1,4212,1,0.011505641628120475,0.001403478889776282,1.9697529940476652e-06
norm,0.1,4212,2,0.011940673419031258,0.0017789351722710513,3.164610347143035e-06
norm,0.1,4212,3,0.011290490613322653,0.0012027725381587716,1.446661778548894e-06
norm,0.1,4212,4,0.011372879344974881,0.0008345612950472137,6.964925551908825e-07
norm,0.1,4212,5,0.011947733093433811,0.0011648396343501067,1.3568513737528905e-06
norm,0.1,4212,6,0.01156687621275265,0.0018264333043051468,3.3358586150750166e-06
norm,0.1,4212,7,0.011359378149001443,0.0011842021278183283,1.4023346795294564e-06
norm,0.1,4212,8,0.011535554321802552,0.0009935461397103042,9.871339317332474e-07
norm,0.1,4212,9,0.011657965479803288,0.0014391511001811005,2.071155889152472e-06
norm,0.1,4212,10,0.011116532786738399,0.0015651396099472987,2.4496619986259824e-06
norm,0.1,4212,11,0.012422400339430324,0.0015680201776954647,2.4586872776601167e-06
norm,0.1,4212,12,0.011429875412020528,0.001352075280520959,1.8281075641958302e-06
norm,0.1,4212,13,0.011116664975876277,0.0012924248513464557,1.670361996377908e-06
norm,0.1,4212,14,0.011156926104299483,0.0016352871099765299,2.6741639320553915e-06
norm,0.1,4212,15,0.01134682113208925,0.001365369317186809,1.8642333723151727e-06
norm,0.1,4212,16,0.011612565802450693,0.0010982901928643695,1.2062413477420537e-06
norm,0.1,4212,17,0.012183196344652036,0.002070978260959509,4.288950957366872e-06
norm,0.1,4212,18,0.011265075146336291,0.0012783467611368047,1.634170441708959e-06
norm,0.1,4212,19,0.011187546635346482,0.001333924299836439,1.7793540376941343e-06
norm,0.1,4212,20,0.011562013210971904,0.0016944464497173715,2.8711487709598044e-06
norm,0.1,4212,21,0.010617978952357873,0.0013023870496745658,1.69621202716002e-06
norm,0.1,4212,22,0.012175922308987225,0.001362284435245362,1.855818882511775e-06
norm,0.1,4212,23,0.011588940552643515,0.001297892870370963,1.6845259029597771e-06
norm,0.1,4212,24,0.011753530365057238,0.0016324310630858893,2.6648311757277267e-06
norm,0.1,4212,25,0.011348998788542066,0.0012967123510991198,1.6814629214930068e-06
norm,0.1,4212,26,0.011908261927263145,0.002011603711542114,4.046549492290009e-06
norm,0.1,4212,27,0.011004877893099011,0.0010657206859568346,1.135760580476306e-06
norm,0.1,4212,28,0.010942028897856644,0.0014002144044946798,1.960600378554391e-06
norm,0.1,4212,29,0.011471225419104534,0.001604777568057165,2.575311042939469e-06
norm,0.1,4212,30,0.011109768201965091,0.001185852460339878,1.406246057694142e-06
norm,0.1,4212,31,0.011090502250120452,0.0017711391615823147,3.1369339296905044e-06
norm,0.1,4212,32,0.011675772978895417,0.00164981483646798,2.721888994629868e-06
norm,0.1,4212,33,0.011245697434336396,0.0013264500378785942,1.759469702988124e-06
norm,0.1,4212,34,0.011395751437381094,0.0011404093372170557,1.3005334564118443e-06
norm,0.1,4212,35,0.011693210613388174,0.001330656157373547,1.7706458091561343e-06
